Unnamed: 0,Square,Price,Room,Floor,Building floor,Renovation,Material,Address,Lift,Bathroom,Washing machine,TV,Microwave oven,Playground,Furniture,Refrigerator,Air conditioner,Wifi,Cable,Security,Video surveillance,Parking space,Latitude,Longitude
137,130,152000,4,8,9,Средний,Панельный,"город Ташкент, Юнусабадский район, массив Минор, Namangan ko'chasi",1,1,1,1,0,0,1,1,1,1,0,0,0,0,69.279755,69.279755
138,42,78000,1,1,5,Евроремонт,Кирпичный,"город Ташкент, Яккасарайский район, махаллинский сход граждан Юнус Ражабий, улица Юнуса Раджаби",0,0,1,1,0,0,1,1,1,1,0,0,0,0,69.259767,69.259767
139,53,92000,2,5,5,Евроремонт,Кирпичный,"город Ташкент, Мирабадский район, махаллинский сход граждан Салор, улица Туркистан",0,0,1,0,0,1,1,0,1,1,0,0,0,1,69.286564,69.286564
140,52,63000,2,2,4,Требует ремонта,Кирпичный,"город Ташкент, Мирзо-Улугбекский район, махаллинский сход граждан Аккурган, улица Аккурган",0,0,0,0,0,0,0,0,0,0,0,0,0,0,69.304701,69.304701
141,38,47000,1,1,5,Требует ремонта,Кирпичный,"город Ташкент, Мирзо-Улугбекский район, махаллинский сход граждан Юзрабат",0,0,0,0,0,1,0,0,0,1,1,0,0,0,69.393275,69.393275
142,54,68000,2,4,4,Средний,Кирпичный,"город Ташкент, Мирзо-Улугбекский район, махаллинский сход граждан Элабад, улица Буюк Ипак Йули",0,0,0,0,0,0,0,0,0,0,0,0,0,0,69.370763,69.370763
143,67,88000,3,2,4,Евроремонт,Кирпичный,"город Ташкент, Мирзо-Улугбекский район, махаллинский сход граждан Шахриабад",0,0,0,0,0,0,0,0,0,0,0,0,0,0,69.340984,69.340984
144,78,69900,3,4,5,Евроремонт,Панельный,"город Ташкент, Яшнободский район, массив Аханграбо, улица Курувчилар",0,1,0,0,0,1,1,0,0,0,1,0,0,1,69.343328,69.343328
145,50,65200,2,2,4,Средний,Панельный,"город Ташкент, Чиланзарский район, махаллинский сход граждан Чиланзар, улица Чиланзар",0,0,0,0,0,0,0,0,0,0,0,0,0,0,69.224661,69.224661
146,33,47300,1,3,4,Евроремонт,Панельный,"город Ташкент, Чиланзарский район, Chilanzar Business City TJM, улица Чиланзар",0,0,0,0,0,0,0,0,0,0,0,0,0,0,69.224661,69.224661
147,92,84000,4,11,12,Евроремонт,Кирпичный,"город Ташкент, Шайхантахурский район, махаллинский сход граждан Самарканд Дарваза, улица Самарканд Дарвоза",1,0,0,0,0,0,0,0,0,0,0,0,0,0,69.22317,69.22317
148,42,44000,2,5,6,Черновая отделка,Кирпичный,"город Ташкент, Яшнободский район, махаллинский сход граждан Джурабек, улица Обишир",1,0,0,0,0,0,0,0,0,0,0,0,0,0,69.311618,69.311618
149,54,70000,2,3,5,Требует ремонта,Кирпичный,"город Ташкент, Мирзо-Улугбекский район, махаллинский сход граждан Бешкапа, улица Буюк Ипак Йули",0,0,0,0,0,0,0,0,0,0,0,0,0,0,69.370763,69.370763
150,46,54500,2,3,4,Средний,Кирпичный,"город Ташкент, Учтепинский район, махаллинский сход граждан Диёрабад",0,0,0,0,0,0,0,0,0,0,0,0,0,0,69.150532,69.150532
151,97,100000,4,2,9,Средний,Монолитный,"город Ташкент, Юнусабадский район, махаллинский сход граждан Уч Кахрамон",1,0,0,0,0,0,0,0,0,0,0,0,0,0,69.279844,69.279844
152,70,70000,3,3,5,Требует ремонта,Кирпичный,"город Ташкент, Учтепинский район, махаллинский сход граждан Фархад",0,0,0,0,0,0,0,0,0,0,0,0,0,0,69.176179,69.176179
153,100,110000,4,4,5,Евроремонт,Монолитный,"город Ташкент, Юнусабадский район, махаллинский сход граждан Севинч",0,1,1,1,1,1,1,1,1,1,1,0,0,1,69.306767,69.306767
154,62.56,85000,2,1,5,Средний,Панельный,"город Ташкент, Мирзо-Улугбекский район, махаллинский сход граждан Султония",0,0,0,0,0,0,0,0,0,0,0,0,0,0,69.37273,69.37273
155,83,250000,3,6,11,Авторский проект,Кирпичный,"город Ташкент, Мирабадский район, жилой комплес Парквуд, 6-й проезд Мироншаха",1,0,0,0,0,0,0,0,0,0,0,0,0,0,69.271822,69.271822
